Verdensdel,Land/region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
America,Sør-Amerika regional,1596.614,1588.737,5417.648,2200.0,3965.03,36742.344,13108.44175,12090.402,33658.312,32369.121,42107.183,33321.474,39854.32227,42135.122117,40566.865236,41298.5265,35413.928861,857.163576,418291.23530999996
America,Paraguay,11110.83,25386.802,5783.015,4981.616,4774.341,3935.41,4343.98,5032.584,6522.512,6574.114,5748.439,6274.4,7112.204065,6721.341149,7102.348993,6639.724298,6715.104865,5856.999993,130615.76636299999
America,Nicaragua,132174.5261,116507.999,126167.382,71476.13314,89672.093,84571.57923,90145.02186,161804.18283,116039.09982,114076.8761,112119.03157,115983.6928,102068.336134,89138.162971,107649.18808,72516.126182,57284.896863,38152.66118,1797546.98886
America,Barbados,577.545,540.503,-67.118,,,,,,,,,,,,,,,,1050.93
America,Colombia,51046.374,51041.483,66348.861,61480.6291472,65953.456,57252.615,58298.417,63703.014,78366.123,62391.966,72813.96254,85798.39002,68487.118856,86049.995204,97275.458817,115475.309305,134117.526386,326901.002669,1602801.7019442
America,Amerika regional,45318.882,30663.484,35740.125,33767.205,32284.152,24698.865,22595.355,32155.693,53341.582,111485.193,158850.499,78224.236,70952.03656,99855.378294,66477.645522,65810.224132,43382.914646,46046.764065,1051650.2342190002
America,Guyana,545.901,20230.5,,,,230.211,,,,,,176681.0,218981.0,2281.42859,956.324879,581762.431425,45178.8026,30871.452999,1077719.052493
America,Mexico,4953.454,3898.151,3583.866,3089.666,623.723,2395.423,3418.652,,,682.0,107.19876,301.44184,45878.85551,1943.2497,9522.550349,41213.029471,23110.284568,-33.079808,144688.46539
America,Ecuador,15518.928,18530.791,24517.81,17957.172267,19030.734,16227.396,11244.207,12208.292,13085.376,17326.68251,10288.766,18429.942,16271.35026,13060.816033,14119.478558,14251.783447,15097.878714,35632.38396,302799.787749
America,Saint Vincent og Grenadinene,,,,,,,,,,,787.46795,,700.875,,,,,,1488.34295
America,Nord- og Sentral-Amerika regional,53954.49709,54083.85723,79523.985,84440.41438,59899.227,110898.1543,71360.08207,92775.38153,93790.66843,71639.10942,114113.42429,-50.51474,186992.23431,61756.47077,6800.941,34881.67694,31953.891655,21613.894517,1230427.395192
